Postcode,State,Fuel Type, Registrations as at 31 January 2021 , Registrations as at 31 January 2022 , Registrations as at 31 January 2023 
2629,NSW,BEV, -   , -   , -   
2629,NSW,HFCEV, -   , -   , -   
2629,NSW,Hybrid/PHEV, 3 , 5 , 6 
2630,NSW,ICE," 8,016 "," 8,040 "," 8,153 "
2630,NSW,BEV, -   , 5 , 16 
2630,NSW,HFCEV, -   , -   , -   
2630,NSW,Hybrid/PHEV, 46 , 68 , 97 
2631,NSW,ICE, 624 , 634 , 626 
2631,NSW,BEV, -   , -   , -   
2631,NSW,HFCEV, -   , -   , -   
2631,NSW,Hybrid/PHEV, -   , -   , -   
2632,NSW,ICE," 1,802 "," 1,805 "," 1,775 "
2632,NSW,BEV, -   , 3 , 3 
2632,NSW,HFCEV, -   , -   , -   
2632,NSW,Hybrid/PHEV, 7 , 10 , 14 
2633,NSW,ICE, 340 , 329 , 320 
2633,NSW,BEV, -   , -   , -   
2633,NSW,HFCEV, -   , -   , -   
2633,NSW,Hybrid/PHEV, -   , 3 , -   
2640,NSW,ICE," 26,921 "," 27,549 "," 28,152 "
2640,NSW,BEV, 13 , 26 , 67 
2640,NSW,HFCEV, -   , -   , -   
2640,NSW,Hybrid/PHEV, 232 , 359 , 470 
2641,NSW,ICE," 10,925 "," 11,155 "," 11,318 "
2641,NSW,BEV, -   , 3 , 10 
2641,NSW,HFCEV, -   , -   , -   
2641,NSW,Hybrid/PHEV, 44 , 71 , 110 
2642,NSW,ICE," 4,240 "," 4,415 "," 4,532 "
2642,NSW,BEV, -   , -   , 7 
2642,NSW,HFCEV, -   , -   , -   
2642,NSW,Hybrid/PHEV, 8 , 13 , 23 
2643,NSW,ICE," 2,129 "," 2,201 "," 2,239 "
2643,NSW,BEV, -   , -   , -   
2643,NSW,HFCEV, -   , -   , -   
2643,NSW,Hybrid/PHEV, 5 , 6 , 12 
2644,NSW,ICE," 2,141 "," 2,211 "," 2,283 "
2644,NSW,BEV, -   , -   , 3 
2644,NSW,HFCEV, -   , -   , -   
2644,NSW,Hybrid/PHEV, 7 , 12 , 19 
2645,NSW,ICE, 391 , 400 , 397 
2645,NSW,BEV, -   , -   , 3 
2645,NSW,HFCEV, -   , -   , -   
2645,NSW,Hybrid/PHEV, -   , 3 , 3 
2646,NSW,ICE," 5,415 "," 5,389 "," 5,363 "
2646,NSW,BEV, 3 , 3 , 3 
2646,NSW,HFCEV, -   , -   , -   
2646,NSW,Hybrid/PHEV, 24 , 37 , 50 
2647,NSW,ICE," 1,475 "," 1,542 "," 1,564 "
2647,NSW,BEV, -   , 3 , 3 
2647,NSW,HFCEV, -   , -   , -   
2647,NSW,Hybrid/PHEV, 5 , 14 , 18 
2648,NSW,ICE," 1,843 "," 1,883 "," 1,855 "
2648,NSW,BEV, -   , -   , -   
2648,NSW,HFCEV, -   , -   , -   
2648,NSW,Hybrid/PHEV, 6 , 6 , 10 
2649,NSW,ICE, 29 , 32 , 27 
2649,NSW,BEV, -   , -   , -   
2649,NSW,HFCEV, -   , -   , -   
2649,NSW,Hybrid/PHEV, -   , -   , -   
2650,NSW,ICE," 45,532 "," 46,022 "," 47,103 "
2650,NSW,BEV, 11 , 31 , 55 
2650,NSW,HFCEV, -   , -   , -   
2650,NSW,Hybrid/PHEV, 401 , 666 , 946 
2651,NSW,ICE," 1,656 "," 1,650 "," 1,704 "
2651,NSW,BEV, -   , -   , 4 
2651,NSW,HFCEV, -   , -   , -   
2651,NSW,Hybrid/PHEV, 7 , 5 , 9 
2652,NSW,ICE," 4,477 "," 4,523 "," 4,647 "
2652,NSW,BEV, -   , -   , 3 
2652,NSW,HFCEV, -   , -   , -   
2652,NSW,Hybrid/PHEV, 13 , 27 , 39 
2653,NSW,ICE," 2,165 "," 2,146 "," 2,173 "
2653,NSW,BEV, -   , 3 , 4 
2653,NSW,HFCEV, -   , -   , -   
2653,NSW,Hybrid/PHEV, 8 , 6 , 10 
2655,NSW,ICE," 1,207 "," 1,212 "," 1,223 "
2655,NSW,BEV, -   , -   , -   
2655,NSW,HFCEV, -   , -   , -   
2655,NSW,Hybrid/PHEV, 7 , 9 , 11 
2656,NSW,ICE," 1,050 "," 1,059 "," 1,084 "
2656,NSW,BEV, -   , -   , -   
2656,NSW,HFCEV, -   , -   , -   
2656,NSW,Hybrid/PHEV, 4 , 7 , 10 
2658,NSW,ICE," 1,180 "," 1,215 "," 1,225 "
2658,NSW,BEV, -   , -   , -   
2658,NSW,HFCEV, -   , -   , -   
2658,NSW,Hybrid/PHEV, 3 , 6 , 8 
2659,NSW,ICE, 800 , 803 , 797 
2659,NSW,BEV, -   , -   , -   
2659,NSW,HFCEV, -   , -   , -   
2659,NSW,Hybrid/PHEV, -   , 3 , -   
2660,NSW,ICE," 1,321 "," 1,344 "," 1,376 "
2660,NSW,BEV, -   , -   , -   
2660,NSW,HFCEV, -   , -   , -   
2660,NSW,Hybrid/PHEV, 3 , -   , 4 
2661,NSW,ICE, 108 , 98 , 100 
2661,NSW,BEV, -   , -   , -   
2661,NSW,HFCEV, -   , -   , -   
2661,NSW,Hybrid/PHEV, -   , 3 , -   
2663,NSW,ICE," 3,405 "," 3,478 "," 3,532 "
2663,NSW,BEV, -   , -   , 3 
2663,NSW,HFCEV, -   , -   , -   
2663,NSW,Hybrid/PHEV, 12 , 25 , 27 
2665,NSW,ICE," 1,913 "," 1,943 "," 2,025 "
2665,NSW,BEV, -   , -   , -   
2665,NSW,HFCEV, -   , -   , -   
2665,NSW,Hybrid/PHEV, 10 , 10 , 11 
2666,NSW,ICE," 4,617 "," 4,644 "," 4,712 "
2666,NSW,BEV, 3 , 3 , -   
2666,NSW,HFCEV, -   , -   , -   
2666,NSW,Hybrid/PHEV, 16 , 22 , 37 
2668,NSW,ICE, 403 , 415 , 425 
2668,NSW,BEV, -   , -   , -   
2668,NSW,HFCEV, -   , -   , -   
2668,NSW,Hybrid/PHEV, -   , -   , -   
2669,NSW,ICE," 1,588 "," 1,624 "," 1,641 "
2669,NSW,BEV, -   , -   , -   
2669,NSW,HFCEV, -   , -   , -   
2669,NSW,Hybrid/PHEV, 4 , 8 , 9 
2671,NSW,ICE," 3,348 "," 3,415 "," 3,496 "
2671,NSW,BEV, -   , -   , -   
2671,NSW,HFCEV, -   , -   , -   
2671,NSW,Hybrid/PHEV, 28 , 56 , 66 
2672,NSW,ICE," 1,257 "," 1,244 "," 1,254 "
2672,NSW,BEV, 3 , -   , -   
2672,NSW,HFCEV, -   , -   , -   
2672,NSW,Hybrid/PHEV, 7 , 13 , 18 
2675,NSW,ICE," 1,301 "," 1,276 "," 1,274 "
2675,NSW,BEV, -   , -   , -   
2675,NSW,HFCEV, -   , -   , -   
2675,NSW,Hybrid/PHEV, 7 , 11 , 13 
2678,NSW,ICE, 22 , 17 , 21 
2678,NSW,BEV, -   , -   , -   
2678,NSW,HFCEV, -   , -   , -   
2678,NSW,Hybrid/PHEV, -   , -   , -   
2680,NSW,ICE," 20,163 "," 20,430 "," 20,549 "
2680,NSW,BEV, 5 , 6 , 9 
2680,NSW,HFCEV, -   , -   , -   
2680,NSW,Hybrid/PHEV, 114 , 194 , 245 
2681,NSW,ICE," 1,652 "," 1,659 "," 1,662 "
2681,NSW,BEV, -   , -   , 3 
2681,NSW,HFCEV, -   , -   , -   
2681,NSW,Hybrid/PHEV, 6 , 9 , 11 
2700,NSW,ICE," 4,048 "," 4,064 "," 4,075 "
2700,NSW,BEV, -   , -   , -   
2700,NSW,HFCEV, -   , -   , -   
2700,NSW,Hybrid/PHEV, 12 , 23 , 30 
2701,NSW,ICE," 1,899 "," 1,958 "," 2,044 "
2701,NSW,BEV, -   , -   , -   
2701,NSW,HFCEV, -   , -   , -   
2701,NSW,Hybrid/PHEV, 15 , 22 , 27 
2702,NSW,ICE, 695 , 715 , 717 
2702,NSW,BEV, -   , -   , -   
2702,NSW,HFCEV, -   , -   , -   
2702,NSW,Hybrid/PHEV, -   , 3 , 4 
2703,NSW,ICE, 651 , 656 , 651 
2703,NSW,BEV, -   , -   , -   
2703,NSW,HFCEV, -   , -   , -   
2703,NSW,Hybrid/PHEV, 5 , 6 , 8 
2705,NSW,ICE," 8,684 "," 8,565 "," 8,660 "
2705,NSW,BEV, 3 , -   , 4 
2705,NSW,HFCEV, -   , -   , -   
2705,NSW,Hybrid/PHEV, 109 , 137 , 179 
2706,NSW,ICE, 987 ," 1,050 "," 1,058 "
2706,NSW,BEV, -   , -   , 3 
2706,NSW,HFCEV, -   , -   , -   
2706,NSW,Hybrid/PHEV, 4 , 7 , 6 
2707,NSW,ICE," 1,235 "," 1,245 "," 1,284 "
2707,NSW,BEV, -   , -   , -   
2707,NSW,HFCEV, -   , -   , -   
2707,NSW,Hybrid/PHEV, 7 , 10 , 13 
2710,NSW,ICE," 8,080 "," 8,213 "," 8,217 "
2710,NSW,BEV, -   , -   , 3 
2710,NSW,HFCEV, -   , -   , -   
2710,NSW,Hybrid/PHEV, 26 , 34 , 54 
2711,NSW,ICE," 2,793 "," 2,730 "," 2,757 "
2711,NSW,BEV, -   , -   , -   
2711,NSW,HFCEV, -   , -   , -   
2711,NSW,Hybrid/PHEV, 23 , 28 , 33 
2712,NSW,ICE," 1,131 "," 1,143 "," 1,146 "
2712,NSW,BEV, -   , -   , -   
2712,NSW,HFCEV, -   , -   , -   
2712,NSW,Hybrid/PHEV, -   , 4 , 6 
2713,NSW,ICE," 2,091 "," 2,192 "," 2,193 "
2713,NSW,BEV, -   , -   , -   
2713,NSW,HFCEV, -   , -   , -   
2713,NSW,Hybrid/PHEV, 9 , 14 , 20 
2714,NSW,ICE," 1,989 "," 2,046 "," 2,051 "
2714,NSW,BEV, 3 , 3 , -   
2714,NSW,HFCEV, -   , -   , -   
2714,NSW,Hybrid/PHEV, 5 , 13 , 20 
2715,NSW,ICE," 1,117 "," 1,111 "," 1,113 "
2715,NSW,BEV, -   , -   , -   
2715,NSW,HFCEV, -   , -   , -   
2715,NSW,Hybrid/PHEV, -   , 3 , 3 
2716,NSW,ICE, 955 , 965 , 976 
2716,NSW,BEV, -   , -   , -   
2716,NSW,HFCEV, -   , -   , -   
2716,NSW,Hybrid/PHEV, -   , 4 , 9 
2717,NSW,ICE, 783 , 775 , 763 
2717,NSW,BEV, -   , -   , -   
2717,NSW,HFCEV, -   , -   , -   
2717,NSW,Hybrid/PHEV, 3 , 4 , 10 
2720,NSW,ICE," 7,094 "," 7,119 "," 7,187 "
2720,NSW,BEV, -   , -   , 6 
2720,NSW,HFCEV, -   , -   , -   
2720,NSW,Hybrid/PHEV, 55 , 87 , 110 
2721,NSW,ICE, 225 , 227 , 220 
2721,NSW,BEV, -   , -   , -   
2721,NSW,HFCEV, -   , -   , -   
2721,NSW,Hybrid/PHEV, -   , -   , 3 
2722,NSW,ICE," 2,656 "," 2,698 "," 2,717 "
2722,NSW,BEV, 3 , 3 , 3 
2722,NSW,HFCEV, -   , -   , -   
2722,NSW,Hybrid/PHEV, 9 , 16 , 30 
2725,NSW,ICE, 368 , 363 , 371 
2725,NSW,BEV, -   , -   , -   
2725,NSW,HFCEV, -   , -   , -   
2725,NSW,Hybrid/PHEV, -   , 3 , 3 
2726,NSW,ICE, 265 , 279 , 275 
2726,NSW,BEV, -   , 3 , -   
2726,NSW,HFCEV, -   , -   , -   
2726,NSW,Hybrid/PHEV, -   , -   , 3 
2727,NSW,ICE, 383 , 399 , 404 
2727,NSW,BEV, -   , -   , -   
2727,NSW,HFCEV, -   , -   , -   
2727,NSW,Hybrid/PHEV, -   , -   , -   
2729,NSW,ICE," 1,530 "," 1,581 "," 1,605 "
2729,NSW,BEV, 3 , -   , 3 
2729,NSW,HFCEV, -   , -   , -   
2729,NSW,Hybrid/PHEV, 4 , 5 , 13 
2730,NSW,ICE," 1,323 "," 1,304 "," 1,268 "
2730,NSW,BEV, -   , -   , -   
2730,NSW,HFCEV, -   , -   , -   
2730,NSW,Hybrid/PHEV, 4 , 8 , 6 
2731,NSW,ICE," 3,446 "," 3,688 "," 3,765 "
2731,NSW,BEV, -   , -   , 5 
2731,NSW,HFCEV, -   , -   , -   
2731,NSW,Hybrid/PHEV, 23 , 37 , 44 
2732,NSW,ICE," 1,240 "," 1,248 "," 1,253 "
2732,NSW,BEV, -   , -   , -   
2732,NSW,HFCEV, -   , -   , -   
2732,NSW,Hybrid/PHEV, 6 , 13 , 16 
2733,NSW,ICE, 527 , 517 , 526 
2733,NSW,BEV, -   , -   , -   
2733,NSW,HFCEV, -   , -   , -   
2733,NSW,Hybrid/PHEV, 5 , 8 , 7 
2734,NSW,ICE, 190 , 200 , 205 
2734,NSW,BEV, -   , -   , -   
2734,NSW,HFCEV, -   , -   , -   
2734,NSW,Hybrid/PHEV, -   , 3 , 3 
2735,NSW,ICE, 161 , 176 , 185 
2735,NSW,BEV, -   , -   , -   
2735,NSW,HFCEV, -   , -   , -   
2735,NSW,Hybrid/PHEV, -   , -   , 3 
2736,NSW,ICE, 219 , 227 , 237 
2736,NSW,BEV, -   , -   , -   
2736,NSW,HFCEV, -   , -   , -   
2736,NSW,Hybrid/PHEV, -   , -   , -   
2737,NSW,ICE, 443 , 462 , 486 
2737,NSW,BEV, -   , -   , -   
2737,NSW,HFCEV, -   , -   , -   
2737,NSW,Hybrid/PHEV, -   , -   , -   
2738,NSW,ICE," 1,180 "," 1,244 "," 1,294 "
2738,NSW,BEV, -   , -   , -   
2738,NSW,HFCEV, -   , -   , -   
2738,NSW,Hybrid/PHEV, -   , -   , -   
2739,NSW,ICE, 821 , 808 , 787 
2739,NSW,BEV, -   , -   , 3 
2739,NSW,HFCEV, -   , -   , -   
2739,NSW,Hybrid/PHEV, 3 , -   , 4 
2745,NSW,ICE," 21,542 "," 21,652 "," 21,917 "
2745,NSW,BEV, 11 , 27 , 59 
2745,NSW,HFCEV, -   , -   , -   
2745,NSW,Hybrid/PHEV, 150 , 224 , 303 
2747,NSW,ICE," 31,587 "," 32,079 "," 32,542 "
2747,NSW,BEV, 4 , 24 , 62 
2747,NSW,HFCEV, -   , -   , -   
2747,NSW,Hybrid/PHEV, 338 , 469 , 620 
2748,NSW,ICE," 1,921 "," 1,890 "," 1,826 "
2748,NSW,BEV, -   , -   , 4 
2748,NSW,HFCEV, -   , -   , -   
2748,NSW,Hybrid/PHEV, 12 , 17 , 21 
2749,NSW,ICE," 11,518 "," 11,483 "," 11,469 "
2749,NSW,BEV, 6 , 14 , 24 
2749,NSW,HFCEV, -   , -   , -   
2749,NSW,Hybrid/PHEV, 67 , 90 , 135 
2750,NSW,ICE," 34,958 "," 35,599 "," 36,589 "
2750,NSW,BEV, 12 , 26 , 71 
2750,NSW,HFCEV, -   , -   , -   
2750,NSW,Hybrid/PHEV, 412 , 738 ," 1,054 "
2752,NSW,ICE," 4,778 "," 4,901 "," 5,189 "
2752,NSW,BEV, -   , 5 , 9 
2752,NSW,HFCEV, -   , -   , -   
2752,NSW,Hybrid/PHEV, 23 , 28 , 51 
2753,NSW,ICE," 13,460 "," 13,452 "," 13,519 "
2753,NSW,BEV, 9 , 6 , 16 
2753,NSW,HFCEV, -   , -   , -   
2753,NSW,Hybrid/PHEV, 75 , 121 , 147 
2754,NSW,ICE," 5,224 "," 5,314 "," 5,607 "
2754,NSW,BEV, -   , 3 , 6 
2754,NSW,HFCEV, -   , -   , -   
2754,NSW,Hybrid/PHEV, 28 , 38 , 71 
2756,NSW,ICE," 28,849 "," 29,165 "," 29,237 "
2756,NSW,BEV, 10 , 15 , 37 
2756,NSW,HFCEV, -   , -   , -   
2756,NSW,Hybrid/PHEV, 207 , 312 , 393 
2757,NSW,ICE, 789 , 784 , 781 
2757,NSW,BEV, -   , -   , -   
2757,NSW,HFCEV, -   , -   , -   
2757,NSW,Hybrid/PHEV, -   , 3 , 5 
2758,NSW,ICE," 8,081 "," 8,098 "," 8,151 "
2758,NSW,BEV, 4 , 10 , 23 
2758,NSW,HFCEV, -   , -   , -   
2758,NSW,Hybrid/PHEV, 50 , 67 , 100 
2759,NSW,ICE," 18,817 "," 18,687 "," 18,508 "
2759,NSW,BEV, -   , 4 , 23 
2759,NSW,HFCEV, -   , -   , -   
2759,NSW,Hybrid/PHEV, 118 , 182 , 246 
2760,NSW,ICE," 22,520 "," 22,597 "," 22,830 "
2760,NSW,BEV, 5 , 9 , 22 
2760,NSW,HFCEV, -   , -   , -   
2760,NSW,Hybrid/PHEV, 219 , 315 , 432 
2761,NSW,ICE," 21,574 "," 21,569 "," 21,907 "
2761,NSW,BEV, 8 , 25 , 56 
2761,NSW,HFCEV, -   , -   , -   
2761,NSW,Hybrid/PHEV, 301 , 395 , 498 
2762,NSW,ICE," 9,270 "," 10,696 "," 12,030 "
2762,NSW,BEV, 3 , 20 , 94 
2762,NSW,HFCEV, -   , -   , -   
2762,NSW,Hybrid/PHEV, 204 , 334 , 416 
2763,NSW,ICE," 18,779 "," 18,896 "," 18,958 "
2763,NSW,BEV, 9 , 18 , 66 
2763,NSW,HFCEV, -   , -   , -   
2763,NSW,Hybrid/PHEV, 258 , 337 , 442 
2765,NSW,ICE," 23,333 "," 27,514 "," 31,927 "
2765,NSW,BEV, 16 , 59 , 239 
2765,NSW,HFCEV, -   , -   , -   
2765,NSW,Hybrid/PHEV, 303 , 552 , 909 
2766,NSW,ICE," 10,524 "," 10,462 "," 10,586 "
2766,NSW,BEV, 11 , 13 , 22 
2766,NSW,HFCEV, -   , -   , -   
2766,NSW,Hybrid/PHEV, 169 , 211 , 269 
2767,NSW,ICE," 13,516 "," 13,238 "," 13,127 "
2767,NSW,BEV, -   , 8 , 26 
2767,NSW,HFCEV, -   , -   , -   
2767,NSW,Hybrid/PHEV, 197 , 242 , 328 
2768,NSW,ICE," 16,094 "," 16,015 "," 15,883 "
2768,NSW,BEV, 14 , 34 , 119 
2768,NSW,HFCEV, -   , -   , -   
2768,NSW,Hybrid/PHEV, 307 , 388 , 614 
2769,NSW,ICE," 8,482 "," 8,576 "," 8,741 "
2769,NSW,BEV, 10 , 35 , 104 
2769,NSW,HFCEV, -   , -   , -   
2769,NSW,Hybrid/PHEV, 191 , 269 , 350 
2770,NSW,ICE," 34,561 "," 33,622 "," 34,176 "
2770,NSW,BEV, 6 , 10 , 32 
2770,NSW,HFCEV, -   , -   , -   
2770,NSW,Hybrid/PHEV, 406 , 520 , 644 
2773,NSW,ICE," 4,309 "," 4,263 "," 4,259 "
2773,NSW,BEV, 6 , 15 , 22 
2773,NSW,HFCEV, -   , -   , -   
2773,NSW,Hybrid/PHEV, 46 , 73 , 85 
2774,NSW,ICE," 9,129 "," 9,047 "," 9,060 "
2774,NSW,BEV, 9 , 19 , 35 
2774,NSW,HFCEV, -   , -   , -   
2774,NSW,Hybrid/PHEV, 93 , 125 , 159 
2775,NSW,ICE," 1,475 "," 1,489 "," 1,506 "
2775,NSW,BEV, -   , -   , 3 
2775,NSW,HFCEV, -   , -   , -   
2775,NSW,Hybrid/PHEV, 15 , 18 , 20 
2776,NSW,ICE," 3,015 "," 3,015 "," 3,005 "
2776,NSW,BEV, -   , 3 , 6 
2776,NSW,HFCEV, -   , -   , -   
2776,NSW,Hybrid/PHEV, 29 , 38 , 52 
2777,NSW,ICE," 12,956 "," 12,899 "," 12,756 "
2777,NSW,BEV, 11 , 18 , 34 
2777,NSW,HFCEV, -   , -   , -   
2777,NSW,Hybrid/PHEV, 109 , 167 , 199 
2778,NSW,ICE," 1,827 "," 1,842 "," 1,838 "
2778,NSW,BEV, 3 , 3 , 14 
2778,NSW,HFCEV, -   , -   , -   
2778,NSW,Hybrid/PHEV, 19 , 19 , 23 
2779,NSW,ICE," 3,454 "," 3,533 "," 3,474 "
2779,NSW,BEV, -   , 3 , 15 
2779,NSW,HFCEV, -   , -   , -   
2779,NSW,Hybrid/PHEV, 29 , 45 , 53 
2780,NSW,ICE," 9,154 "," 9,207 "," 9,171 "
2780,NSW,BEV, 13 , 26 , 52 
2780,NSW,HFCEV, -   , -   , -   
2780,NSW,Hybrid/PHEV, 124 , 176 , 193 
2782,NSW,ICE," 4,460 "," 4,415 "," 4,339 "
2782,NSW,BEV, 8 , 17 , 35 
2782,NSW,HFCEV, -   , -   , -   
2782,NSW,Hybrid/PHEV, 66 , 94 , 111 
2783,NSW,ICE," 2,067 "," 2,041 "," 2,028 "
2783,NSW,BEV, 3 , 4 , 9 
2783,NSW,HFCEV, -   , -   , -   
2783,NSW,Hybrid/PHEV, 42 , 54 , 59 
2784,NSW,ICE, 916 , 949 , 950 
2784,NSW,BEV, 3 , 4 , 5 
2784,NSW,HFCEV, -   , -   , -   
2784,NSW,Hybrid/PHEV, 10 , 11 , 15 
2785,NSW,ICE," 3,480 "," 3,482 "," 3,438 "
2785,NSW,BEV, 6 , 14 , 20 
2785,NSW,HFCEV, -   , -   , -   
2785,NSW,Hybrid/PHEV, 28 , 35 , 52 
2786,NSW,ICE, 981 , 975 , 980 
2786,NSW,BEV, 3 , 3 , 4 
2786,NSW,HFCEV, -   , -   , -   
2786,NSW,Hybrid/PHEV, 8 , 9 , 13 
2787,NSW,ICE," 4,237 "," 4,258 "," 4,287 "
2787,NSW,BEV, -   , 4 , 4 
2787,NSW,HFCEV, -   , -   , -   
2787,NSW,Hybrid/PHEV, 17 , 20 , 33 
2790,NSW,ICE," 12,505 "," 12,576 "," 12,512 "
2790,NSW,BEV, 4 , 9 , 23 
2790,NSW,HFCEV, -   , -   , -   
2790,NSW,Hybrid/PHEV, 125 , 175 , 218 
2791,NSW,ICE, 309 , 306 , 315 
2791,NSW,BEV, -   , -   , -   
2791,NSW,HFCEV, -   , -   , -   
2791,NSW,Hybrid/PHEV, -   , 3 , 3 
2792,NSW,ICE, 382 , 351 , 365 
2792,NSW,BEV, -   , -   , -   
2792,NSW,HFCEV, -   , -   , -   
2792,NSW,Hybrid/PHEV, 3 , -   , 3 
2793,NSW,ICE," 1,068 "," 1,087 "," 1,076 "
2793,NSW,BEV, -   , -   , -   
2793,NSW,HFCEV, -   , -   , -   
2793,NSW,Hybrid/PHEV, 5 , 8 , 8 
2794,NSW,ICE," 8,506 "," 8,533 "," 8,611 "
2794,NSW,BEV, -   , -   , 3 
2794,NSW,HFCEV, -   , -   , -   
2794,NSW,Hybrid/PHEV, 57 , 86 , 122 
2795,NSW,ICE," 35,090 "," 35,827 "," 36,300 "
2795,NSW,BEV, 5 , 21 , 49 
2795,NSW,HFCEV, -   , -   , -   
2795,NSW,Hybrid/PHEV, 218 , 338 , 511 
2797,NSW,ICE, 414 , 414 , 421 
2797,NSW,BEV, -   , -   , -   
2797,NSW,HFCEV, -   , -   , -   
2797,NSW,Hybrid/PHEV, -   , -   , 4 
2798,NSW,ICE," 1,914 "," 1,897 "," 1,919 "
2798,NSW,BEV, 3 , 3 , 6 
2798,NSW,HFCEV, -   , -   , -   
2798,NSW,Hybrid/PHEV, 13 , 21 , 30 
2799,NSW,ICE," 3,631 "," 3,688 "," 3,696 "
2799,NSW,BEV, -   , 3 , 3 
2799,NSW,HFCEV, -   , -   , -   
2799,NSW,Hybrid/PHEV, 18 , 25 , 39 
2800,NSW,ICE," 36,830 "," 37,256 "," 37,716 "
2800,NSW,BEV, 23 , 41 , 89 
2800,NSW,HFCEV, -   , -   , -   
2800,NSW,Hybrid/PHEV, 291 , 445 , 648 
2803,NSW,ICE, 345 , 314 , 314 
2803,NSW,BEV, -   , -   , -   
2803,NSW,HFCEV, -   , -   , -   
2803,NSW,Hybrid/PHEV, 4 , 3 , 5 
2804,NSW,ICE," 2,338 "," 2,410 "," 2,428 "
2804,NSW,BEV, 3 , -   , 3 
2804,NSW,HFCEV, -   , -   , -   
2804,NSW,Hybrid/PHEV, 11 , 21 , 23 
2805,NSW,ICE, 454 , 478 , 479 
2805,NSW,BEV, -   , -   , -   
2805,NSW,HFCEV, -   , -   , -   
2805,NSW,Hybrid/PHEV, 3 , 3 , 3 
2806,NSW,ICE, 785 , 798 , 889 
2806,NSW,BEV, -   , -   , -   
2806,NSW,HFCEV, -   , -   , -   
2806,NSW,Hybrid/PHEV, -   , -   , 5 
2807,NSW,ICE, 419 , 435 , 445 
2807,NSW,BEV, -   , -   , -   
2807,NSW,HFCEV, -   , -   , -   
2807,NSW,Hybrid/PHEV, -   , -   , 3 
2808,NSW,ICE, 187 , 195 , 217 
2808,NSW,BEV, -   , -   , -   
2808,NSW,HFCEV, -   , -   , -   
2808,NSW,Hybrid/PHEV, -   , 3 , -   
2809,NSW,ICE, 257 , 251 , 237 
2809,NSW,BEV, -   , -   , -   
2809,NSW,HFCEV, -   , -   , -   
2809,NSW,Hybrid/PHEV, 3 , -   , -   
2810,NSW,ICE," 2,704 "," 2,795 "," 2,796 "
2810,NSW,BEV, -   , -   , 3 
2810,NSW,HFCEV, -   , -   , -   
2810,NSW,Hybrid/PHEV, 11 , 20 , 27 
2817,NSW,ICE, 131 , 153 , 163 
2817,NSW,BEV, -   , -   , -   
2817,NSW,HFCEV, -   , -   , -   
2817,NSW,Hybrid/PHEV, 3 , -   , 3 
2818,NSW,ICE, 584 , 629 , 676 
2818,NSW,BEV, 3 , 3 , -   
2818,NSW,HFCEV, -   , -   , -   
2818,NSW,Hybrid/PHEV, -   , 3 , -   
2820,NSW,ICE," 5,176 "," 5,153 "," 5,174 "
2820,NSW,BEV, 3 , 3 , -   
2820,NSW,HFCEV, -   , -   , -   
2820,NSW,Hybrid/PHEV, 23 , 39 , 57 
2821,NSW,ICE," 3,763 "," 3,822 "," 3,932 "
2821,NSW,BEV, -   , -   , -   
2821,NSW,HFCEV, -   , -   , -   
2821,NSW,Hybrid/PHEV, 13 , 23 , 30 
2822,NSW,ICE, 253 , 277 , 328 
2822,NSW,BEV, -   , -   , -   
2822,NSW,HFCEV, -   , -   , -   
2822,NSW,Hybrid/PHEV, -   , -   , 3 
2823,NSW,ICE," 1,195 "," 1,214 "," 1,243 "
2823,NSW,BEV, -   , -   , -   
2823,NSW,HFCEV, -   , -   , -   
2823,NSW,Hybrid/PHEV, 7 , 9 , 9 
2824,NSW,ICE," 1,956 "," 1,999 "," 2,034 "
2824,NSW,BEV, -   , 3 , -   
2824,NSW,HFCEV, -   , -   , -   
2824,NSW,Hybrid/PHEV, 14 , 28 , 36 
2825,NSW,ICE," 1,977 "," 2,017 "," 2,002 "
2825,NSW,BEV, -   , -   , -   
2825,NSW,HFCEV, -   , -   , -   
2825,NSW,Hybrid/PHEV, 15 , 33 , 44 
2826,NSW,ICE, 99 , 114 , 116 
2826,NSW,BEV, -   , -   , -   
2826,NSW,HFCEV, -   , -   , -   
2826,NSW,Hybrid/PHEV, -   , -   , -   
2827,NSW,ICE," 2,930 "," 2,933 "," 2,971 "
2827,NSW,BEV, -   , -   , 3 
2827,NSW,HFCEV, -   , -   , -   
2827,NSW,Hybrid/PHEV, 18 , 27 , 37 
2828,NSW,ICE, 628 , 611 , 632 
2828,NSW,BEV, -   , -   , -   
2828,NSW,HFCEV, -   , -   , -   
2828,NSW,Hybrid/PHEV, 4 , 5 , 7 
2829,NSW,ICE," 2,460 "," 2,460 "," 2,474 "
2829,NSW,BEV, -   , -   , -   
2829,NSW,HFCEV, -   , -   , -   
2829,NSW,Hybrid/PHEV, 5 , 7 , 14 
2830,NSW,ICE," 33,882 "," 34,631 "," 34,900 "
2830,NSW,BEV, 16 , 25 , 38 
2830,NSW,HFCEV, -   , -   , -   
2830,NSW,Hybrid/PHEV, 372 , 588 , 856 
2831,NSW,ICE," 2,397 "," 2,384 "," 2,322 "
2831,NSW,BEV, -   , -   , -   
2831,NSW,HFCEV, -   , -   , -   
2831,NSW,Hybrid/PHEV, 7 , 10 , 15 
2832,NSW,ICE," 1,855 "," 1,827 "," 1,900 "
2832,NSW,BEV, -   , -   , -   
2832,NSW,HFCEV, -   , -   , -   
