Postcode,State,Fuel Type, Registrations as at 31 January 2021 , Registrations as at 31 January 2022 , Registrations as at 31 January 2023 
874,NT,BEV, -   , -   , -   
874,NT,HFCEV, -   , -   , -   
874,NT,Hybrid/PHEV, 3 , 3 , 6 
875,NT,ICE," 1,295 "," 1,265 "," 1,186 "
875,NT,BEV, -   , -   , -   
875,NT,HFCEV, -   , -   , -   
875,NT,Hybrid/PHEV, 16 , 19 , 20 
880,NT,ICE," 2,469 "," 2,520 "," 2,592 "
880,NT,BEV, -   , -   , -   
880,NT,HFCEV, -   , -   , -   
880,NT,Hybrid/PHEV, 7 , 12 , 14 
885,NT,ICE, 622 , 639 , 665 
885,NT,BEV, -   , -   , -   
885,NT,HFCEV, -   , -   , -   
885,NT,Hybrid/PHEV, -   , -   , -   
886,NT,ICE, 719 , 663 , 540 
886,NT,BEV, -   , -   , -   
886,NT,HFCEV, -   , -   , -   
886,NT,Hybrid/PHEV, -   , -   , -   
2000,NSW,ICE," 18,213 "," 17,931 "," 18,025 "
2000,NSW,BEV, 76 , 159 , 272 
2000,NSW,HFCEV, -   , -   , -   
2000,NSW,Hybrid/PHEV, 976 ," 1,215 "," 1,571 "
2007,NSW,ICE," 2,294 "," 2,563 "," 2,579 "
2007,NSW,BEV, 5 , 14 , 24 
2007,NSW,HFCEV, -   , -   , -   
2007,NSW,Hybrid/PHEV, 65 , 81 , 100 
2008,NSW,ICE," 2,794 "," 2,841 "," 2,888 "
2008,NSW,BEV, 9 , 20 , 34 
2008,NSW,HFCEV, -   , -   , -   
2008,NSW,Hybrid/PHEV, 69 , 80 , 87 
2009,NSW,ICE," 5,746 "," 5,877 "," 5,883 "
2009,NSW,BEV, 22 , 42 , 85 
2009,NSW,HFCEV, -   , -   , -   
2009,NSW,Hybrid/PHEV, 346 , 377 , 331 
2010,NSW,ICE," 9,940 "," 10,028 "," 10,093 "
2010,NSW,BEV, 37 , 80 , 155 
2010,NSW,HFCEV, -   , -   , -   
2010,NSW,Hybrid/PHEV, 180 , 236 , 371 
2011,NSW,ICE," 9,160 "," 8,737 "," 8,452 "
2011,NSW,BEV, 49 , 70 , 103 
2011,NSW,HFCEV, -   , -   , -   
2011,NSW,Hybrid/PHEV, 318 , 512 , 965 
2015,NSW,ICE," 8,953 "," 9,245 "," 9,874 "
2015,NSW,BEV, 84 , 98 , 156 
2015,NSW,HFCEV, -   , -   , -   
2015,NSW,Hybrid/PHEV, 296 , 357 , 490 
2016,NSW,ICE," 5,175 "," 5,162 "," 5,118 "
2016,NSW,BEV, 10 , 20 , 32 
2016,NSW,HFCEV, -   , -   , -   
2016,NSW,Hybrid/PHEV, 80 , 102 , 132 
2017,NSW,ICE," 11,965 "," 12,366 "," 12,492 "
2017,NSW,BEV, 68 , 77 , 143 
