,region,year,all_sales,ev_sales,fossil_sales,ev_share,fossil_share
0,China,2010,13757794,1440,13756354.0,0.009999999776483,99.99000000022352
1,China,2011,14472416,5120,14467296.0,0.034000001847744,99.96599999815226
2,China,2012,15495240,9860,15485380.0,0.072999998927116,99.92700000107288
3,China,2013,17927730,15730,17912000.0,0.094999998807907,99.9050000011921
4,China,2014,19707677,73000,19634677.0,0.400000005960465,99.59999999403954
5,China,2015,21210339,211000,20999339.0,1.0,99.0
6,China,2016,24376902,339000,24037902.0,1.5,98.5
7,China,2017,24718321,580000,24138321.0,2.40000009536743,97.59999990463257
8,China,2018,23709782,1090000,22619782.0,4.69999980926514,95.30000019073486
9,China,2019,21472092,1060000,20412092.0,5.0,95.0
10,China,2020,20177731,1140000,19037731.0,5.69999980926514,94.30000019073486
11,China,2021,21481537,3250019,18231518.0,16.0,84.0
12,China,2022,23563287,5900240,17663047.0,29.0,71.0
13,India,2010,2387197,450,2386747.0,0.020999999716878,99.97900000028312
14,India,2011,2510313,1400,2508913.0,0.056000001728535,99.94399999827147
15,India,2012,2781919,190,2781729.0,0.00719999987632,99.99280000012368
16,India,2013,2553979,410,2553569.0,0.016000000759959,99.98399999924004
17,India,2014,2570736,1000,2569736.0,0.037999998778105,99.9620000012219
18,India,2015,2772270,450,2771820.0,0.017000000923872,99.98299999907613
19,India,2016,2966637,730,2965907.0,0.026000000536442,99.97399999946356
20,India,2017,3229109,920,3228189.0,0.030999999493361,99.96900000050664
21,India,2018,3394756,920,3393836.0,0.029999999329448,99.97000000067055
22,India,2019,2962115,687,2961428.0,0.024000000208616,99.97599999979138
23,India,2020,2433464,3143,2430321.0,0.119999997317791,99.88000000268221
24,India,2021,3082279,12051,3070228.0,0.349999994039536,99.65000000596046
25,India,2022,3792356,48025,3744331.0,1.20000004768372,98.79999995231628
26,Japan,2010,4203181,2402,4200779.0,0.052999999374151,99.94700000062585
27,Japan,2011,3509036,13015,3496021.0,0.28999999165535,99.71000000834465
28,Japan,2012,4572333,24001,4548332.0,0.449999988079071,99.55000001192093
29,Japan,2013,4562282,29004,4533278.0,0.540000021457672,99.45999997854233
30,Japan,2014,4699591,32007,4667584.0,0.610000014305115,99.38999998569489
31,Japan,2015,4215889,24390,4191499.0,0.519999980926514,99.48000001907349
32,Japan,2016,4146459,25500,4120959.0,0.509999990463257,99.49000000953674
33,Japan,2017,4386378,54850,4331528.0,1.20000004768372,98.79999995231628
34,Japan,2018,4391160,50610,4340550.0,1.10000002384186,98.89999997615814
35,Japan,2019,4301091,39670,4261421.0,0.860000014305115,99.13999998569489
36,Japan,2020,3809977,30490,3779487.0,0.75,99.25
37,Japan,2021,3675698,47500,3628198.0,1.20000004768372,98.79999995231628
38,Japan,2022,3448297,97990,3350307.0,2.79999995231628,97.20000004768372
39,USA,2010,5635432,1200,5634232.0,0.012000000104308,99.98799999989569
40,USA,2011,6089403,17800,6071603.0,0.150000005960464,99.84999999403954
41,USA,2012,7241900,54000,7187900.0,0.419999986886978,99.58000001311302
42,USA,2013,7585341,97000,7488341.0,0.709999978542328,99.29000002145767
43,USA,2014,7749432,118055,7631377.0,0.769999980926514,99.23000001907349
44,USA,2015,7516826,114100,7402726.0,0.699999988079071,99.30000001192093
45,USA,2016,6872729,161100,6711629.0,0.990000009536743,99.00999999046326
46,USA,2017,6080229,196300,5883929.0,1.29999995231628,98.70000004768372
47,USA,2018,5303580,362700,4940880.0,2.29999995231628,97.70000004768372
48,USA,2019,4719710,327000,4392710.0,2.09999990463257,97.90000009536743
49,USA,2020,3401838,295200,3106638.0,2.29999995231628,97.70000004768372
