,Vehicle,Cost per km,Cost per 100 km
110,Tesla Model Y Long Range Dual Motor,0.049398399999999995,4.939839999999999
111,BYD DOLPHIN 44.9 kWh Boost,0.049685599999999996,4.96856
112,BMW i5 eDrive40 Sedan,0.049685599999999996,4.96856
113,BYD DOLPHIN 60.4 kWh,0.049685599999999996,4.96856
114,Mercedes-Benz EQE 350+,0.049685599999999996,4.96856
115,Kia e-Soul 64 kWh,0.049685599999999996,4.96856
116,MG Cyberster Trophy,0.049685599999999996,4.96856
117,Volkswagen ID.4 Pro,0.049685599999999996,4.96856
118,Skoda Enyaq 60,0.049685599999999996,4.96856
119,Porsche Taycan Plus,0.049685599999999996,4.96856
120,Porsche Taycan 4S,0.049685599999999996,4.96856
121,Kia EV3 Long Range,0.049685599999999996,4.96856
122,Nissan Leaf e+,0.0499728,4.99728
123,MG MG5 Electric Standard Range,0.0499728,4.99728
124,GWM ORA 3 63 kWh,0.0499728,4.99728
125,GWM ORA 3 48 kWh,0.05026,5.026
126,Smart #3 Premium,0.05026,5.026
127,Smart #3 Pro+,0.05026,5.026
128,Skoda Enyaq 85x,0.05026,5.026
129,MG MG4 Electric 77 kWh,0.05026,5.026
130,Opel Mokka-e 54 kWh,0.05026,5.026
131,Polestar 2 Long Range Dual Motor,0.0505472,5.05472
132,Polestar 2 Long Range Performance,0.0505472,5.05472
133,Mercedes-Benz EQE 350 4MATIC,0.0505472,5.05472
134,XPENG G6 RWD Standard Range,0.0505472,5.05472
135,NIO ET7 75 kWh,0.0505472,5.05472
136,Porsche Taycan 4S Plus,0.0505472,5.05472
137,Renault Scenic E-Tech EV60 170hp,0.0505472,5.05472
138,Mazda MX-30,0.0505472,5.05472
139,Audi Q4 Sportback e-tron 45,0.050834399999999995,5.0834399999999995
140,Skoda Enyaq RS,0.050834399999999995,5.0834399999999995
141,Volkswagen ID.4 Pro 4MOTION,0.050834399999999995,5.0834399999999995
142,Kia EV6 Standard Range 2WD,0.050834399999999995,5.0834399999999995
143,Mini Countryman SE ALL4,0.050834399999999995,5.0834399999999995
144,Smart #3 Pro,0.050834399999999995,5.0834399999999995
145,Renault Scenic E-Tech EV87 220hp,0.051121599999999996,5.112159999999999
146,Volvo EX30 Single Motor ER,0.051121599999999996,5.112159999999999
147,Opel Mokka-e 50 kWh,0.051121599999999996,5.112159999999999
148,Volvo EX30 Single Motor,0.051121599999999996,5.112159999999999
149,NIO ET7 100 kWh,0.051121599999999996,5.112159999999999
150,BMW i5 xDrive40 Sedan,0.051121599999999996,5.112159999999999
151,BMW i5 eDrive40 Touring,0.051121599999999996,5.112159999999999
152,NIO ET5 75 kWh,0.051121599999999996,5.112159999999999
153,XPENG G6 RWD Long Range,0.0514088,5.14088
154,Mercedes-Benz EQS 450 4MATIC,0.0514088,5.14088
155,Zeekr 001 Long Range RWD,0.0514088,5.14088
156,Ford Explorer Extended Range RWD,0.0514088,5.14088
157,CUPRA Tavascan VZ,0.0514088,5.14088
158,Volkswagen ID.5 GTX,0.0514088,5.14088
159,Mercedes-Benz EQE 500 4MATIC,0.0514088,5.14088
160,XPENG P7 AWD Performance,0.051696,5.1696
161,BYD HAN,0.051696,5.1696
162,e.Go e.wave X,0.051696,5.1696
163,NIO ET5 100 kWh,0.051696,5.1696
164,Zeekr X Long Range RWD,0.051696,5.1696
165,Kia EV6 Long Range 2WD,0.051696,5.1696
166,BMW i4 M50,0.0519832,5.19832
167,Tesla Model Y Performance,0.0519832,5.19832
168,Volkswagen ID.7 GTX,0.0519832,5.19832
169,XPENG P7 Wing Edition,0.052270399999999995,5.22704
170,XPENG G6 AWD Performance,0.052270399999999995,5.22704
171,Volkswagen ID.4 Pure,0.052270399999999995,5.22704
172,GWM ORA 3 GT,0.052270399999999995,5.22704
173,Toyota bZ4X FWD,0.052557599999999996,5.2557599999999995
174,Lexus RZ 450e,0.052557599999999996,5.2557599999999995
175,Mercedes-Benz EQS 500 4MATIC,0.052557599999999996,5.2557599999999995
176,Hyundai IONIQ 5 Standard Range 2WD,0.052557599999999996,5.2557599999999995
