,Vehicle,Consumption (Wh/km)
166,BMW i4 M50,181
167,Tesla Model Y Performance,181
168,Volkswagen ID.7 GTX,181
169,XPENG P7 Wing Edition,182
170,XPENG G6 AWD Performance,182
171,Volkswagen ID.4 Pure,182
172,GWM ORA 3 GT,182
173,Toyota bZ4X FWD,183
174,Lexus RZ 450e,183
175,Mercedes-Benz EQS 500 4MATIC,183
176,Hyundai IONIQ 5 Standard Range 2WD,183
177,NIO ET5 Touring 75 kWh,183
178,BYD ATTO 3,183
179,Audi Q4 e-tron 45,183
180,Volkswagen ID.4 GTX,183
181,Ford Explorer Extended Range AWD,184
182,Mercedes-Benz EQS 580 4MATIC,184
183,MG ZS EV Long Range,185
184,Honda e:Ny1,185
185,MG ZS EV Standard Range,185
186,Porsche Taycan Sport Turismo,185
187,Volkswagen ID.7 Tourer GTX,185
188,Kia EV6 Long Range AWD,185
189,Smart #1 Premium,185
190,Smart #1 Pro+,185
191,Smart #3 Brabus,185
192,Toyota bZ4X AWD,186
193,Zeekr X Privilege AWD,186
194,Audi Q4 Sportback e-tron 55 quattro,186
195,NIO ET5 Touring 100 kWh,186
196,Ford Explorer Standard Range RWD,186
197,MG Cyberster GT,186
198,Volvo EC40 Single Motor,186
199,Porsche Taycan Turbo,187
200,Genesis G80 Electrified Luxury,188
201,Audi Q4 Sportback e-tron 45 quattro,188
202,Zeekr 001 Performance AWD,188
203,Smart #1 Pro,188
204,Nissan Ariya 63kWh,188
205,Volvo EC40 Single Motor ER,188
206,Lexus UX 300e,188
207,Porsche Taycan Plus Sport Turismo,188
208,Lotus Emeya,189
209,Lotus Emeya S,189
210,Ford Mustang Mach-E ER RWD,190
211,Genesis GV60 Premium,190
212,Hyundai IONIQ 5 Long Range 2WD,190
213,Polestar 4 Long Range Single Motor,190
214,Zeekr 001 Privilege AWD,190
215,Mercedes-Benz EQA 300 4MATIC,190
216,Mercedes-Benz EQA 350 4MATIC,190
217,Aiways U5,190
218,Smart #1 Pulse,191
219,Smart #1 Brabus,191
220,Volvo EX30 Twin Motor Performance,191
221,Ford Mustang Mach-E SR RWD,191
222,Porsche Taycan 4S Sport Turismo,191
223,MG Marvel R,192
224,XPENG G9 RWD Standard Range,192
225,Porsche Taycan 4 Cross Turismo,192
226,Porsche Taycan 4S Cross Turismo,192
227,Peugeot e-3008 73 kWh,192
228,Peugeot e-3008 73 kWh Dual Motor,192
229,Peugeot e-3008 98 kWh Long Range,192
230,Hyundai IONIQ 5 Long Range AWD,192
231,BMW iX3,192
232,Mercedes-Benz EQB 300 4MATIC,193
233,Mercedes-Benz EQB 350 4MATIC,193
234,MG MG4 Electric XPOWER,193
235,SsangYong Korando e-Motion,193
236,Nissan Ariya 87kWh,193
237,BMW i5 M60 xDrive Sedan,193
238,XPENG G9 RWD Long Range,194
239,Porsche Taycan Turbo S,194
240,Volvo EX40 Single Motor,194
241,Genesis GV60 Sport,195
242,Audi Q4 e-tron 45 quattro,195
243,Audi Q4 e-tron 55 quattro,195
244,BMW i7 eDrive50,196
245,BMW i5 M60 xDrive Touring,196
246,Porsche Macan 4 Electric,196
247,Porsche Taycan 4S Plus Sport Turismo,196
248,Porsche Taycan Turbo Cross Turismo,196
249,BMW iX xDrive40,197
250,Peugeot e-5008 73 kWh,197
251,Volvo EX40 Single Motor ER,198
252,Volvo EC40 Twin Motor Performance,198
253,Volvo EC40 Twin Motor,198
254,Maserati GranTurismo Folgore,198
255,Audi Q6 e-tron performance,198
256,Porsche Macan Turbo Electric,198
257,BMW i7 xDrive60,199
258,Subaru Solterra AWD,200
259,Peugeot e-5008 73 kWh Dual Motor,200
260,Peugeot e-5008 98 kWh Long Range,200
261,Mercedes-Benz EQT 200 Standard,200
262,Tesla Model X Dual Motor,200
263,MG Marvel R Performance,200
264,Audi Q8 e-tron Sportback 50 quattro,200
265,Nissan Townstar EV Passenger,200
266,XPENG G9 AWD Performance,200
267,Mercedes-Benz EQE AMG 43 4MATIC,201
268,Mercedes-Benz EQE AMG 53 4MATIC+,201
269,Mercedes-Benz EQE SUV 300,201
270,NIO EL6 75 kWh,201
271,Mercedes-Benz EQS AMG 53 4MATIC+,202
272,Audi Q8 e-tron Sportback 55 quattro,202
273,Mercedes-Benz EQE SUV 350+,202
274,Polestar 4 Long Range Dual Motor,202
275,Genesis GV60 Sport Plus,203
276,KGM Torres EVX,203
277,Fisker Ocean Sport,203
278,Porsche Taycan Turbo S Cross Turismo,204
279,Porsche Taycan Turbo GT,204
280,Porsche Taycan Turbo GT Weissach,204
281,Ford Mustang Mach-E ER AWD,204
282,Renault Kangoo E-Tech Electric,205
283,Volvo EX40 Twin Motor,205
284,Kia EV6 GT,206
285,Audi Q6 e-tron quattro,206
286,VinFast VF 8 Eco Extended Range,206
287,VinFast VF 8 Plus Extended Range,206
288,Porsche Taycan Turbo Sport Turismo,206
289,NIO EL6 100 kWh,207
290,NIO EL7 75 kWh,207
291,Ford Mustang Mach-E SR AWD,207
292,BMW i7 M70 xDrive,208
293,Elaris BEO 86 kWh,208
294,Hyundai IONIQ 5 N,208
295,Volvo EX40 Twin Motor Performance,208
296,Mercedes-Benz EQE SUV 350 4MATIC,208
297,BMW iX xDrive50,208
298,Voyah Free 106 kWh,208
299,Tesla Model X Plaid,209
300,Fisker Ocean Ultra,209
301,NIO EL7 100 kWh,209
302,Audi Q8 e-tron 50 quattro,209
303,Audi Q8 e-tron 55 quattro,210
304,Maserati GranCabrio Folgore,210
305,Porsche Taycan Turbo S Sport Turismo,211
306,Mercedes-Benz EQE SUV 500 4MATIC,211
307,BYD SEAL U 71.8 kWh Comfort,211
308,Genesis GV70 Electrified Sport,211
309,Lotus Emeya R,213
310,Citroen e-Berlingo M 50 kWh,213
311,Audi SQ6 e-tron,213
312,Kia EV9 99.8 kWh RWD,213
313,Ford Mustang Mach-E GT,214
314,BYD SEAL U 87 kWh Design,215
315,Nissan Ariya e-4ORCE 87kWh - 225 kW,215
316,Nissan Ariya e-4ORCE 87kWh - 290 kW,215
317,BMW iX M60,217
318,Fisker Ocean Extreme,217
319,Citroen e-Berlingo XL 50 kWh,217
320,Mercedes-Benz EQE SUV AMG 43 4MATIC,218
321,Polestar 3 Long Range Dual motor,218
322,Mercedes-Benz EQS SUV 450+,219
323,Rolls-Royce Spectre,219
324,Volvo EX90 Single Motor,220
325,Lotus Eletre,220
326,Kia EV9 99.8 kWh AWD,221
327,Audi SQ8 e-tron Sportback,221
328,Mercedes-Benz EQE SUV AMG 53 4MATIC+,221
329,Mercedes-Benz EQS SUV 450 4MATIC,223
330,Mercedes-Benz EQS SUV 500 4MATIC,223
331,Mercedes-Benz EQS SUV 580 4MATIC,223
332,Jaguar I-Pace EV400,223
333,Volkswagen ID. Buzz Pro,223
334,Kia EV9 99.8 kWh AWD GT-Line,226
335,Lotus Eletre S,227
336,Polestar 3 Long Range Performance,228
337,Volkswagen ID. Buzz LWB Pro,230
338,Volvo EX90 Twin Motor,230
339,Maxus MIFA 9,230
340,Volkswagen ID. Buzz LWB Pro S,232
341,Audi SQ8 e-tron,233
342,Volkswagen ID. Buzz GTX,236
343,VinFast VF 9 Extended Range,237
344,Maserati Grecale Folgore,238
345,Volvo EX90 Twin Motor Performance,238
346,Hongqi E-HS9 84 kWh,239
347,Lotus Eletre R,240
348,Mercedes-Benz EQS SUV Maybach 680,241
349,Volkswagen ID. Buzz LWB GTX ,242
350,Hongqi E-HS9 99 kWh,243
351,BYD TANG,243
352,Hongqi E-HS9 120 kWh,243
353,Mercedes-Benz eVito Tourer Long 60 kWh,273
354,Mercedes-Benz EQV 250 Long,279
355,Mercedes-Benz eVito Tourer Extra-Long 60 kWh,279
356,Mercedes-Benz eVito Tourer Long 90 kWh,281
357,Mercedes-Benz EQV 250 Extra-Long,286
358,Mercedes-Benz EQV 300 Long,286
359,Mercedes-Benz G 580,322
