,Latitude,Longitude
0,-29.251767146809307,114.93533678947051
1,-33.485450284269874,150.15227760437114
2,-34.07085887727317,150.80665583075495
3,-31.97974757849547,115.97197588423592
4,-20.05385007735012,119.8271567468621
5,-33.741938777072164,151.21364536627425
6,-33.741938777072164,151.21364536627425
7,-34.18231041374674,139.98631021340225
8,-34.18605180138638,139.99661283387684
9,-32.76374294675019,151.742101372786
10,-35.25805966511065,149.4398991158709
11,-32.80115991667573,116.47522932344805
12,-31.2557851,136.80266
13,-25.840736817666908,133.29974959294498
14,-33.765456662016454,150.62149884005026
15,-33.953590454066756,115.07079111266364
16,-30.750111329876674,121.47511538931815
17,-34.84380365342569,148.9141018891671
18,-35.7229067434558,147.3171930996939
19,-34.772316512568395,149.69267286725506
20,-38.47811653249701,145.94369632320195
21,-38.47607406598741,145.9449660995017
22,-38.43454681668418,145.82550050274392
23,-38.43293285267044,145.82559498595492
24,-38.16759449972774,145.95340965722312
25,-38.15200425352916,145.13493764315962
26,-32.12627372979047,133.6729436190849
27,-28.33164512189506,153.56421838432203
28,-37.282013366626494,142.9297245107835
29,-37.054694820216696,142.7814197610627
30,-37.05706536578791,142.78103976991747
31,-36.55114428189935,145.98425664687772
32,-38.2221684103342,145.0394072875024
33,-33.597285174014345,151.31997898476163
34,-22.543198410447303,115.50141571783809
35,-28.41795526622294,151.07778635013676
36,-27.303552224037652,133.6227445832953
37,-33.83754542029569,117.1578115341685
38,-32.937064398774,117.16399188426647
39,-32.934143432527556,117.17480124057863
40,-32.933670519982606,117.17677737808447
41,-31.179597642152913,117.37944093832061
42,-28.21747800470518,152.03115724286278
43,-38.389181,142.484993
44,-37.82480937950314,147.63246014953563
45,-37.82454530904592,147.6327352303539
46,-33.32517168635446,115.642665842138
47,-26.575093433135848,148.80762514285902
48,-33.02641308008939,137.53226864294578
49,-32.48927,137.7612186
50,-26.41184549747159,114.46404594375008
51,-32.05512902897771,115.96339054908071
52,-32.05199556827005,115.76493682476348
53,-32.79758493806768,134.19831799463498
54,-31.936258468207264,115.8497013709943
55,-34.4602252,138.9866954
56,-31.758081346597947,115.77145646090628
57,-27.402355423317843,152.93697981150945
58,-33.047159,135.461943
59,-33.14584,136.415203
60,-34.991588982756106,138.57595688588066
61,-30.311578112924515,139.33620167274148
62,-32.102866290875234,115.76244884692244
63,-15.779058583778237,128.74043814383487
64,-36.923705481847556,144.7100660165538
65,-37.413967109460415,144.9791065326649
66,-34.2834466714301,150.63939668827243
67,-34.2829974272134,150.63679286992692
68,-37.051215336112,149.90155657766792
69,-37.10326647778291,149.87937771549701
70,-33.68530286444153,136.92905700914315
71,-30.27621389393004,116.66182170267825
72,-21.937404564407117,114.13060539906303
73,-31.73530856799269,115.76057078337675
74,-33.71060645301792,151.1025062095589
75,-41.87471231875492,148.3041358766775
76,-30.5168745388638,151.66662986871611
77,-37.82365941817221,145.2959481777906
78,-35.029504038354794,117.88711964420804
79,-32.36748025468421,117.00946148863972
80,-30.978295982227706,150.25129064038157
81,-32.44938187858875,118.86590392183905
82,-29.210721611002967,116.00847792163336
83,-41.87508668420113,148.30190462959308
84,-37.98035192583418,146.7866369371215
85,-38.188088367705056,144.55520001587047
86,-33.93987597013291,118.92073932501205
87,-33.58080346048715,120.04577841886328
88,-33.135121425836196,136.41678887852186
89,-25.927965006899086,113.53579323666713
