,Postcode,Latitude,Longitude,State,Fuel Type,Registrations as at 31 January 2021,Registrations as at 31 January 2022,Registrations as at 31 January 2023
80,850,-14.43162875,132.3888705,NT,ICE,6258,6194,6051
81,850,-14.43162875,132.3888705,NT,BEV,0,0,0
82,850,-14.43162875,132.3888705,NT,HFCEV,0,0,0
83,850,-14.43162875,132.3888705,NT,Hybrid/PHEV,28,38,48
84,852,-16.4525888,130.8418661,NT,ICE,1450,1281,1326
85,852,-16.4525888,130.8418661,NT,BEV,0,0,0
86,852,-16.4525888,130.8418661,NT,HFCEV,0,0,0
87,852,-16.4525888,130.8418661,NT,Hybrid/PHEV,0,0,3
88,853,-14.558122,132.417121,NT,ICE,542,533,558
89,853,-14.558122,132.417121,NT,BEV,0,0,0
90,853,-14.558122,132.417121,NT,HFCEV,0,0,0
91,853,-14.558122,132.417121,NT,Hybrid/PHEV,4,6,6
92,854,-16.070754,136.3091159,NT,ICE,377,355,350
93,854,-16.070754,136.3091159,NT,BEV,0,0,0
94,854,-16.070754,136.3091159,NT,HFCEV,0,0,0
95,854,-16.070754,136.3091159,NT,Hybrid/PHEV,0,3,0
96,860,-19.641301,134.173599,NT,ICE,1650,1565,1482
97,860,-19.641301,134.173599,NT,BEV,0,0,0
98,860,-19.641301,134.173599,NT,HFCEV,0,0,0
99,860,-19.641301,134.173599,NT,Hybrid/PHEV,7,9,12
100,862,-18.251528,134.463153,NT,ICE,375,330,337
101,862,-18.251528,134.463153,NT,BEV,0,0,0
102,862,-18.251528,134.463153,NT,HFCEV,0,0,0
103,862,-18.251528,134.463153,NT,Hybrid/PHEV,0,0,0
104,870,-23.75188561,133.7578528,NT,ICE,15786,15591,15346
105,870,-23.75188561,133.7578528,NT,BEV,12,16,21
106,870,-23.75188561,133.7578528,NT,HFCEV,0,0,0
107,870,-23.75188561,133.7578528,NT,Hybrid/PHEV,99,147,202
108,872,-26.32328109,132.4550072,NT,ICE,2167,1908,1886
109,872,-26.32328109,132.4550072,NT,BEV,0,0,0
110,872,-26.32328109,132.4550072,NT,HFCEV,0,0,0
111,872,-26.32328109,132.4550072,NT,Hybrid/PHEV,4,4,5
112,873,-23.74471408,133.9050112,NT,ICE,1361,1310,1317
113,873,-23.74471408,133.9050112,NT,BEV,3,3,3
114,873,-23.74471408,133.9050112,NT,HFCEV,0,0,0
115,873,-23.74471408,133.9050112,NT,Hybrid/PHEV,10,15,19
116,874,-23.68480339,133.9224797,NT,ICE,308,300,268
117,874,-23.68480339,133.9224797,NT,BEV,0,0,0
118,874,-23.68480339,133.9224797,NT,HFCEV,0,0,0
119,874,-23.68480339,133.9224797,NT,Hybrid/PHEV,3,3,6
120,875,-23.68028355,133.8311794,NT,ICE,1295,1265,1186
121,875,-23.68028355,133.8311794,NT,BEV,0,0,0
122,875,-23.68028355,133.8311794,NT,HFCEV,0,0,0
123,875,-23.68028355,133.8311794,NT,Hybrid/PHEV,16,19,20
124,880,-12.2425718,136.8772098,NT,ICE,2469,2520,2592
125,880,-12.2425718,136.8772098,NT,BEV,0,0,0
126,880,-12.2425718,136.8772098,NT,HFCEV,0,0,0
127,880,-12.2425718,136.8772098,NT,Hybrid/PHEV,7,12,14
128,885,-13.85078586,136.420066,NT,ICE,622,639,665
129,885,-13.85078586,136.420066,NT,BEV,0,0,0
130,885,-13.85078586,136.420066,NT,HFCEV,0,0,0
131,885,-13.85078586,136.420066,NT,Hybrid/PHEV,0,0,0
132,886,-13.13118,132.563373,NT,ICE,719,663,540
133,886,-13.13118,132.563373,NT,BEV,0,0,0
134,886,-13.13118,132.563373,NT,HFCEV,0,0,0
135,886,-13.13118,132.563373,NT,Hybrid/PHEV,0,0,0
136,2000,-33.859953,151.256649,NSW,ICE,18213,17931,18025
137,2000,-33.859953,151.256649,NSW,BEV,76,159,272
138,2000,-33.859953,151.256649,NSW,HFCEV,0,0,0
139,2000,-33.859953,151.256649,NSW,Hybrid/PHEV,976,1215,1571
140,2007,-33.883189,151.19665,NSW,ICE,2294,2563,2579
141,2007,-33.883189,151.19665,NSW,BEV,5,14,24
142,2007,-33.883189,151.19665,NSW,HFCEV,0,0,0
143,2007,-33.883189,151.19665,NSW,Hybrid/PHEV,65,81,100
144,2008,-33.891146,151.193858,NSW,ICE,2794,2841,2888
145,2008,-33.891146,151.193858,NSW,BEV,9,20,34
146,2008,-33.891146,151.193858,NSW,HFCEV,0,0,0
147,2008,-33.891146,151.193858,NSW,Hybrid/PHEV,69,80,87
148,2009,-33.871222,151.193055,NSW,ICE,5746,5877,5883
149,2009,-33.871222,151.193055,NSW,BEV,22,42,85
150,2009,-33.871222,151.193055,NSW,HFCEV,0,0,0
151,2009,-33.871222,151.193055,NSW,Hybrid/PHEV,346,377,331
152,2010,-33.884119,151.212262,NSW,ICE,9940,10028,10093
153,2010,-33.884119,151.212262,NSW,BEV,37,80,155
154,2010,-33.884119,151.212262,NSW,HFCEV,0,0,0
155,2010,-33.884119,151.212262,NSW,Hybrid/PHEV,180,236,371
156,2011,-33.873599,151.221626,NSW,ICE,9160,8737,8452
157,2011,-33.873599,151.221626,NSW,BEV,49,70,103
158,2011,-33.873599,151.221626,NSW,HFCEV,0,0,0
